date	away_team	home_team	predicted_total	market_adjusted_total	prediction_std	close_total_line	edge	p_over	bet	actual_total	bet_won
2023-05-30	Texas Rangers	Detroit Tigers	10.010517051697507	8.908528080529278	4.5010166	9.0	-0.09147191947072209	0.4918930527220016	UNDER	16.0	False
2023-05-30	Cleveland Guardians	Baltimore Orioles	9.511513568095996	8.90864861126841	4.4950857	9.0	-0.09135138873159043	0.4918930527220016	UNDER	13.0	False
2023-05-30	Milwaukee Brewers	Toronto Blue Jays	8.196305187147493	8.293954386444103	4.1905828	9.0	-0.7060456135558972	0.43310131477184843	UNDER	9.0	True
2023-05-30	Atlanta Braves	Oakland Athletics	7.355603179143579	7.1829422294577725	4.646865	9.0	-1.8170577705422275	0.34788799240626483	UNDER	3.0	True
2023-05-30	Washington Nationals	Los Angeles Dodgers	9.628705680988812	8.912697099058482	4.2958736	9.0	-0.08730290094151805	0.4918930527220016	UNDER	12.0	False
2023-05-30	Los Angeles Angels	Chicago White Sox	9.54490776725845	8.90786414395902	4.5336866	9.0	-0.09213585604097929	0.4918930527220016	UNDER	10.0	False
2023-05-30	Cincinnati Reds	Boston Red Sox	9.999594431015916	9.409042560145876	4.475701	9.5	-0.09095743985412419	0.4918930527220016	UNDER	17.0	False
2023-05-31	Los Angeles Angels	Chicago White Sox	9.85339352638161	8.907359170746595	4.5585346	9.0	-0.09264082925340489	0.4918930527220016	UNDER	17.0	False
2023-05-31	Washington Nationals	Los Angeles Dodgers	9.863768423221838	9.407438448924504	4.5546336	9.5	-0.09256155107549624	0.4918930527220016	UNDER	16.0	False
2023-05-31	Cleveland Guardians	Baltimore Orioles	9.850818518719047	9.321676741930725	4.8712435	8.25	1.071676741930725	0.5870646766169154	OVER	20.0	True
2023-05-31	Atlanta Braves	Oakland Athletics	7.762244963153468	7.1683068436306625	4.684293	9.0	-1.8316931563693375	0.34788799240626483	UNDER	6.0	True
2023-05-31	Tampa Bay Rays	Chicago Cubs	8.044180975711912	7.789558778419096	4.216672	8.5	-0.7104412215809042	0.43310131477184843	UNDER	7.0	True
